,Lemmas,PoS,Sentiment
1586,beseech,VBP,Disgust/Fear
1587,sacrifice,VB,Disgust/Fear
1588,stretch,VB,Disgust/Fear
1589,favour,VBP,Happy
1590,borrow,VB,Disgust/Fear
1591,spoil,VB,Disgust/Fear
1592,plucked,VBD,Disgust/Fear
1593,pour,VBP,Disgust/Fear
1594,takest,VBP,Disgust/Fear
1595,eloquent,VB,Disgust/Fear
1596,maketh,VBP,Disgust/Fear
1597,glad,VBN,Happy
1598,jethro,VB,Disgust/Fear
1599,harden,VB,Disgust/Fear
1600,cut,VBD,Sad/Angry
1601,aaron,VB,Disgust/Fear
1602,hold,VB,Disgust/Fear
1603,straw,VBP,Disgust/Fear
1604,diminish,VB,Disgust/Fear
1605,cry,VBP,Sad/Angry
1606,laid,VBN,Disgust/Fear
1607,labour,VB,Disgust/Fear
1608,regard,VB,Disgust/Fear
1609,straw,VB,Disgust/Fear
1610,diminished,VBN,Disgust/Fear
1611,fulfil,VB,Disgust/Fear
1612,demanded,VBD,Sad/Angry
1613,minish,VB,Disgust/Fear
1614,drive,VB,Disgust/Fear
1615,keep,VBP,Disgust/Fear
1616,redeem,VB,Disgust/Fear
1617,bringeth,VBP,Disgust/Fear
1618,jochebed,VB,Disgust/Fear
1619,elisheba,VB,Disgust/Fear
1620,stretch,VBP,Disgust/Fear
1621,shew,VBD,Disgust/Fear
1622,cast,VBP,Disgust/Fear
1623,aaron,VBP,Disgust/Fear
1624,swallowed,VBD,Disgust/Fear
1625,hardened,VBD,Disgust/Fear
1626,hardened,VBN,Disgust/Fear
1627,saith,VBP,Disgust/Fear
1628,lothe,VB,Disgust/Fear
1629,blood,VBN,Disgust/Fear
1630,intreat,VBD,Disgust/Fear
1631,morrow,VB,Disgust/Fear
1632,sever,VB,Disgust/Fear
1633,stone,VB,Disgust/Fear
1634,intreat,VB,Disgust/Fear
1635,letting,VBG,Disgust/Fear
1636,dead,VBP,Sad/Angry
1637,sprinkle,VB,Disgust/Fear
1638,breaking,VBG,Disgust/Fear
1639,sprinkled,VBD,Disgust/Fear
1640,declared,VBN,Disgust/Fear
1641,thy,VBD,Disgust/Fear
1642,regarded,VBD,Disgust/Fear
1643,hail,VBN,Happy
1644,brake,VB,Disgust/Fear
1645,sinned,VBN,Disgust/Fear
1646,spread,VB,Disgust/Fear
1647,bolled,VBD,Disgust/Fear
1648,grown,VB,Disgust/Fear
1649,ceased,VBN,Disgust/Fear
1650,poured,VBN,Disgust/Fear
1651,sinned,VBD,Disgust/Fear
1652,humble,VB,Disgust/Fear
1653,cover,VB,Disgust/Fear
1654,remaineth,VBP,Disgust/Fear
1655,darkened,VBN,Disgust/Fear
1656,felt,VBN,Disgust/Fear
1657,light,VBN,Disgust/Fear
1658,stayed,VBN,Disgust/Fear
1659,thrust,VB,Disgust/Fear
1660,firstborn,VBN,Disgust/Fear
1661,multiplied,VBN,Disgust/Fear
1662,eating,VBG,Disgust/Fear
1663,roast,VBD,Disgust/Fear
1664,girded,VBD,Disgust/Fear
1665,execute,VB,Disgust/Fear
1666,smite,VBP,Disgust/Fear
1667,leaven,VBN,Disgust/Fear
1668,eateth,VBP,Disgust/Fear
1669,leavened,VBN,Disgust/Fear
1670,observe,VB,Disgust/Fear
1671,soul,VBP,Disgust/Fear
1672,promised,VBN,Happy
1673,mean,VBD,Disgust/Fear
1674,smote,VBD,Disgust/Fear
1675,get,VBP,Disgust/Fear
1676,forth,VBP,Disgust/Fear
1677,borrowed,VBD,Disgust/Fear
1678,lent,VBP,Disgust/Fear
1679,required,VBD,Disgust/Fear
1680,baked,VBD,Disgust/Fear
1681,thrust,VBG,Disgust/Fear
1682,homeborn,VBN,Disgust/Fear
1683,sanctify,VB,Disgust/Fear
1684,openeth,VBP,Disgust/Fear
1685,unleavened,VBN,Disgust/Fear
1686,redeem,VBP,Disgust/Fear
1687,let,VBN,Disgust/Fear
1688,repent,VBP,Disgust/Fear
1689,return,VBP,Disgust/Fear
1690,harnessed,VBN,Disgust/Fear
1691,encamped,VBD,Disgust/Fear
1692,encamp,VBP,Disgust/Fear
1693,entangled,VBD,Disgust/Fear
1694,honoured,VBN,Happy
1695,serving,VBG,Disgust/Fear
1696,overtook,VB,Disgust/Fear
1697,encamping,VBG,Disgust/Fear
1698,lifted,VBN,Disgust/Fear
1699,marched,VBN,Disgust/Fear
1700,cried,VBN,Sad/Angry
1701,honour,VB,Happy
1702,honour,VBP,Happy
1703,drave,VBP,Disgust/Fear
1704,sing,VB,Disgust/Fear
1705,triumphed,VBD,Happy
1706,prepare,VB,Disgust/Fear
1707,exalt,VB,Disgust/Fear
1708,drowned,VBN,Sad/Angry
1709,sank,VBD,Disgust/Fear
1710,dashed,VBN,Disgust/Fear
1711,congealed,VBN,Disgust/Fear
1712,stretchedst,VBD,Disgust/Fear
1713,guided,VBD,Disgust/Fear
1714,afraid,VBN,Disgust/Fear
1715,amazed,VBN,Happy
1716,trembling,VBG,Sad/Angry
1717,melt,VB,Disgust/Fear
1718,dread,VB,Sad/Angry
1719,pas,VBP,Disgust/Fear
1720,purchased,VBD,Disgust/Fear
1721,miriam,VB,Disgust/Fear
1722,sing,VBG,Disgust/Fear
1723,marah,VB,Disgust/Fear
1724,murmured,VBN,Disgust/Fear
1725,wilt,VB,Disgust/Fear
1726,elim,VB,Disgust/Fear
1727,departing,VBG,Disgust/Fear
1728,sat,VBP,Disgust/Fear
1729,prove,VB,Disgust/Fear
1730,gather,VBP,Disgust/Fear
1731,heareth,VB,Disgust/Fear
1732,wist,VBP,Disgust/Fear
1733,mete,VB,Disgust/Fear
1734,bred,VBD,Disgust/Fear
1735,melted,VBD,Disgust/Fear
1736,seethe,VB,Disgust/Fear
1737,inhabited,VBN,Disgust/Fear
1738,chide,VB,Disgust/Fear
1739,tempt,VB,Disgust/Fear
1740,smotest,VBP,Disgust/Fear
1741,tempted,VBD,Disgust/Fear
1742,choose,VB,Disgust/Fear
1743,hur,VB,Disgust/Fear
1744,discomfited,VBN,Disgust/Fear
1745,rejoiced,VBN,Happy
1746,dealt,VBP,Disgust/Fear
1747,wear,VBP,Disgust/Fear
1748,shew,VBP,Disgust/Fear
1749,provide,VBP,Disgust/Fear
1750,hating,VBG,Sad/Angry
1751,place,VB,Disgust/Fear
1752,chose,VBP,Disgust/Fear
1753,camped,VBD,Disgust/Fear
1754,stoned,VBN,Disgust/Fear
1755,trembled,VBD,Sad/Angry
1756,descended,VBD,Disgust/Fear
1757,ascended,VBD,Disgust/Fear
1758,quaked,VBD,Disgust/Fear
1759,charge,VB,Disgust/Fear
1760,gaze,VB,Disgust/Fear
1761,perish,VB,Disgust/Fear
1762,mount,VB,Disgust/Fear
1763,visiting,VBG,Disgust/Fear
1764,shewing,VBG,Disgust/Fear
1765,guiltless,VB,Happy
1766,hallowed,VBD,Disgust/Fear
1767,covet,VB,Disgust/Fear
1768,lift,VBP,Disgust/Fear
1769,discovered,VBN,Disgust/Fear
1770,married,VBN,Disgust/Fear
1771,bore,VB,Sad/Angry
1772,please,VBD,Happy
1773,betrothed,VBD,Disgust/Fear
1774,redeemed,VBN,Happy
1775,betrothed,VBN,Disgust/Fear
1776,selleth,VBD,Disgust/Fear
1777,strive,VBP,Disgust/Fear
1778,pay,VB,Sad/Angry
1779,punished,VBN,Sad/Angry
1780,continue,VBP,Disgust/Fear
1781,push,VB,Disgust/Fear
1782,testified,VBN,Disgust/Fear
1783,open,VB,Disgust/Fear
1784,dig,VB,Disgust/Fear
1785,ox,VBN,Disgust/Fear
1786,standing,VBG,Disgust/Fear
1787,kindled,VBD,Disgust/Fear
1788,hurt,VBN,Sad/Angry
1789,endow,VB,Disgust/Fear
1790,lieth,VBP,Disgust/Fear
1791,afflict,VBP,Disgust/Fear
1792,wax,VB,Disgust/Fear
1793,lend,VBP,Disgust/Fear
1794,pledge,VB,Disgust/Fear
1795,goeth,VBD,Disgust/Fear
1796,covering,VBG,Disgust/Fear
1797,revile,VB,Disgust/Fear
1798,delay,VB,Sad/Angry
1799,offer,VB,Disgust/Fear
1800,evil,VB,Sad/Angry
1801,decline,VB,Disgust/Fear
1802,wrest,VB,Disgust/Fear
1803,hateth,VBD,Disgust/Fear
1804,help,VBP,Happy
1805,justify,VB,Disgust/Fear
1806,rest,VB,Disgust/Fear
1807,refreshed,VBN,Disgust/Fear
1808,appear,VB,Disgust/Fear
1809,provoke,VBD,Sad/Angry
1810,pardon,VB,Happy
1811,cut,VB,Sad/Angry
1812,overthrow,VBD,Disgust/Fear
1813,sickness,VB,Disgust/Fear
1814,worship,VB,Happy
1815,sacrificed,VBD,Disgust/Fear
1816,devouring,VBG,Disgust/Fear
1817,gat,VBD,Disgust/Fear
1818,dyed,VBN,Disgust/Fear
1819,anointing,VBG,Disgust/Fear
1820,overlay,VBD,Disgust/Fear
1821,overlay,VB,Disgust/Fear
1822,borne,VBN,Disgust/Fear
1823,proceed,VBP,Disgust/Fear
1824,light,VBD,Disgust/Fear
1825,shewed,VBN,Disgust/Fear
1826,ten,VBP,Disgust/Fear
1827,twined,VBN,Disgust/Fear
1828,cunning,VBG,Disgust/Fear
1829,twenty,VB,Disgust/Fear
1830,coupled,VBN,Disgust/Fear
1831,likewise,VB,Disgust/Fear
1832,couple,VB,Disgust/Fear
1833,westward,VBP,Disgust/Fear
1834,end,VB,Disgust/Fear
1835,rear,VBP,Disgust/Fear
1836,hang,VBD,Disgust/Fear
1837,twined,VBD,Disgust/Fear
1838,filleted,VBN,Disgust/Fear
1839,olive,VBP,Disgust/Fear
1840,evening,VBG,Disgust/Fear
1841,hearted,VBN,Disgust/Fear
1842,consecrate,VB,Disgust/Fear
1843,grave,VB,Sad/Angry
1844,engrave,VBP,Disgust/Fear
1845,fasten,VB,Disgust/Fear
1846,fasten,VBN,Disgust/Fear
1847,coupling,VBG,Disgust/Fear
1848,bind,VB,Disgust/Fear
1849,loosed,VBN,Disgust/Fear
1850,grave,VBP,Sad/Angry
1851,hallow,VB,Disgust/Fear
1852,embroider,VBP,Disgust/Fear
1853,anoint,VB,Disgust/Fear
1854,bear,VBP,Disgust/Fear
1855,unleavened,VBD,Disgust/Fear
1856,tempered,VBN,Disgust/Fear
1857,anointed,VBN,Disgust/Fear
1858,wheaten,VB,Disgust/Fear
1859,gird,VBD,Disgust/Fear
1860,theirs,VBN,Disgust/Fear
1861,burn,VBP,Disgust/Fear
1862,slay,VBD,Disgust/Fear
1863,sprinkle,VBP,Disgust/Fear
1864,hallowed,VBN,Disgust/Fear
1865,wave,VBP,Disgust/Fear
1866,wave,VB,Disgust/Fear
1867,waved,VBN,Disgust/Fear
1868,heaved,VBN,Disgust/Fear
1869,aaron,VBN,Disgust/Fear
1870,consecrated,VBN,Disgust/Fear
1871,priest,VBN,Disgust/Fear
1872,wherewith,VBP,Disgust/Fear
1873,ought,VBN,Disgust/Fear
1874,toucheth,VBP,Disgust/Fear
1875,holy,VBN,Disgust/Fear
1876,offering,VBG,Disgust/Fear
1877,passeth,VBP,Disgust/Fear
1878,appoint,VBP,Disgust/Fear
1879,moreover,VB,Disgust/Fear
1880,compoundeth,VBP,Disgust/Fear
1881,tempered,VBD,Disgust/Fear
1882,yourselves,VB,Disgust/Fear
1883,smell,VB,Disgust/Fear
1884,devise,VB,Disgust/Fear
1885,work,VB,Disgust/Fear
1886,doeth,VBP,Disgust/Fear
1887,upon,VBP,Disgust/Fear
1888,delayed,VBN,Sad/Angry
1889,brake,VBP,Disgust/Fear
1890,received,VBD,Disgust/Fear
1891,fashioned,VBD,Disgust/Fear
1892,graving,VBG,Disgust/Fear
1893,play,VB,Happy
1894,sacrificed,VBN,Disgust/Fear
1895,repented,VBN,Disgust/Fear
1896,shouted,VBD,Disgust/Fear
1897,overcome,VBN,Disgust/Fear
1898,powder,VB,Disgust/Fear
1899,strawed,VBD,Disgust/Fear
1900,gate,VB,Disgust/Fear
1901,forgive,VBP,Happy
1902,visit,VBP,Disgust/Fear
1903,plagued,VBD,Disgust/Fear
1904,consume,VBP,Disgust/Fear
1905,stripped,VBD,Disgust/Fear
1906,face,VBP,Disgust/Fear
1907,face,VB,Disgust/Fear
1908,proclaim,VB,Disgust/Fear
1909,hew,VBP,Disgust/Fear
1910,feed,VBN,Disgust/Fear
1911,hewed,VBD,Disgust/Fear
1912,descended,VBN,Disgust/Fear
1913,proclaimed,VBD,Disgust/Fear
1914,keeping,VBG,Disgust/Fear
1915,forgiving,VBG,Happy
1916,drive,VBP,Disgust/Fear
1917,lest,VB,Disgust/Fear
1918,abib,VBD,Disgust/Fear
1919,ingathering,VBG,Disgust/Fear
1920,appear,VBP,Disgust/Fear
1921,write,VBP,Disgust/Fear
1922,kindle,VB,Disgust/Fear
1923,entering,VBG,Disgust/Fear
1924,stirred,VBD,Disgust/Fear
1925,spin,VB,Disgust/Fear
1926,spun,VBN,Disgust/Fear
1927,devise,VBP,Disgust/Fear
1928,wrought,VBD,Disgust/Fear
1929,understanding,VBG,Disgust/Fear
1930,proclaimed,VBN,Disgust/Fear
1931,coupled,VBD,Disgust/Fear
1932,shoot,VB,Sad/Angry
1933,overlaid,VBD,Disgust/Fear
1934,bezaleel,VB,Disgust/Fear
1935,round,VB,Disgust/Fear
1936,assembling,VBG,Disgust/Fear
1937,assembled,VBD,Disgust/Fear
1938,southward,VBD,Disgust/Fear
1939,twenty,VBP,Disgust/Fear
1940,occupied,VBN,Disgust/Fear
1941,filleted,VBD,Disgust/Fear
1942,beat,VB,Disgust/Fear
1943,inclosed,VBN,Disgust/Fear
1944,graven,VBN,Sad/Angry
1945,foursquare,VBN,Disgust/Fear
1946,doubled,VBD,Disgust/Fear
1947,fastened,VBD,Disgust/Fear
1948,rend,VB,Disgust/Fear
1949,tied,VBD,Disgust/Fear
1950,clothe,VB,Disgust/Fear
1951,anoint,VBP,Disgust/Fear
1952,reared,VBN,Disgust/Fear
1953,reared,VBD,Disgust/Fear
1954,flay,VB,Disgust/Fear
1955,wring,VBG,Disgust/Fear
1956,wrung,VBN,Disgust/Fear
1957,pluck,VB,Disgust/Fear
1958,pour,VB,Disgust/Fear
1959,baken,VBN,Disgust/Fear
1960,mingled,VBD,Disgust/Fear
1961,suffer,VBP,Sad/Angry
1962,lacking,VBG,Disgust/Fear
1963,thereof,VB,Disgust/Fear
1964,dip,VB,Disgust/Fear
1965,killed,VBN,Sad/Angry
1966,forgiven,VBN,Happy
1967,burned,VBD,Disgust/Fear
1968,sin,VBP,Sad/Angry
1969,committed,VBN,Happy
1970,utter,VB,Disgust/Fear
1971,hidden,VBN,Disgust/Fear
1972,knoweth,VBD,Disgust/Fear
1973,pronouncing,VBG,Disgust/Fear
1974,pronounce,VB,Disgust/Fear
1975,commit,VBP,Happy
1976,forbidden,VBN,Sad/Angry
1977,erred,VBD,Disgust/Fear
1978,trespassed,VBN,Disgust/Fear
1979,commit,VB,Happy
1980,lost,VBN,Sad/Angry
1981,trespassing,VBG,Disgust/Fear
1982,beside,VB,Disgust/Fear
1983,sprinkled,VBN,Disgust/Fear
1984,whereon,VBD,Disgust/Fear
1985,sodden,VBN,Disgust/Fear
1986,scoured,VBN,Disgust/Fear
1987,rinsed,VBD,Disgust/Fear
1988,reconcile,VB,Disgust/Fear
1989,thanksgiving,VBG,Disgust/Fear
1990,fried,VBN,Disgust/Fear
1991,leavened,VBD,Disgust/Fear
1992,anointed,VBD,Disgust/Fear
1993,laid,VBP,Disgust/Fear
1994,purified,VBD,Disgust/Fear
1995,caul,VB,Disgust/Fear
1996,burnt,VBP,Disgust/Fear
1997,waved,VBD,Disgust/Fear
1998,boil,VBP,Disgust/Fear
1999,glorified,VBN,Happy
2000,bewail,VBP,Disgust/Fear
2001,heave,VB,Disgust/Fear
2002,sought,VBN,Disgust/Fear
2003,eaten,VB,Disgust/Fear
2004,befallen,VBN,Disgust/Fear
2005,parteth,VBP,Disgust/Fear
2006,clovenfooted,VBN,Disgust/Fear
2007,cheweth,VBP,Disgust/Fear
2008,chew,VBP,Disgust/Fear
2009,divide,VBP,Disgust/Fear
2010,fowl,VBP,Disgust/Fear
2011,flying,VBG,Disgust/Fear
2012,leg,VBN,Disgust/Fear
2013,leap,VB,Disgust/Fear
2014,whoso,VB,Disgust/Fear
2015,toucheth,VB,Disgust/Fear
2016,creep,VBP,Disgust/Fear
2017,cleansed,VBN,Disgust/Fear
2018,falleth,VBP,Disgust/Fear
2019,cometh,VB,Disgust/Fear
2020,drunk,VBN,Sad/Angry
2021,falleth,VB,Disgust/Fear
2022,sowing,VBG,Disgust/Fear
2023,sown,VBN,Disgust/Fear
2024,goeth,VB,Disgust/Fear
2025,born,VB,Disgust/Fear
2026,born,VBD,Disgust/Fear
2027,shut,VB,Disgust/Fear
2028,rising,VBG,Disgust/Fear
2029,shaven,VBN,Disgust/Fear
2030,shave,VB,Disgust/Fear
2031,cry,VB,Sad/Angry
2032,woollen,VBN,Disgust/Fear
2033,wherein,VBD,Disgust/Fear
2034,wash,VBP,Disgust/Fear
2035,washed,VBN,Disgust/Fear
2036,present,VB,Disgust/Fear
2037,afterward,VB,Disgust/Fear
2038,scraped,VBN,Disgust/Fear
2039,scrape,VBP,Disgust/Fear
2040,plaister,VB,Disgust/Fear
2041,scraped,VBD,Disgust/Fear
2042,plaistered,VBN,Disgust/Fear
2043,shut,VBN,Disgust/Fear
2044,cleanse,VB,Disgust/Fear
2045,sprinkle,VBD,Disgust/Fear
2046,saddle,VB,Disgust/Fear
2047,toucheth,VBD,Disgust/Fear
2048,rinsed,VBN,Disgust/Fear
2049,bathe,VB,Disgust/Fear
2050,running,VBG,Disgust/Fear
2051,whosoever,VB,Disgust/Fear
2052,herself,VB,Disgust/Fear
2053,defile,VBP,Disgust/Fear
2054,girded,VBN,Disgust/Fear
2055,attired,VBN,Disgust/Fear
2056,reconciling,VBG,Disgust/Fear
2057,bringeth,VB,Disgust/Fear
2058,sojourn,VBP,Disgust/Fear
2059,eat,VBP,Disgust/Fear
2060,approach,VB,Disgust/Fear
2061,uncover,VB,Disgust/Fear
2062,vex,VB,Disgust/Fear
2063,defile,VB,Disgust/Fear
2064,molech,VB,Disgust/Fear
2065,lie,VBN,Disgust/Fear
2066,spued,VBD,Disgust/Fear
2067,molten,VBN,Disgust/Fear
2068,profaned,VBD,Disgust/Fear
2069,reap,VB,Disgust/Fear
2070,gather,VBD,Disgust/Fear
2071,respect,VB,Happy
2072,scourged,VBN,Disgust/Fear
2073,planted,VBN,Disgust/Fear
2074,count,VB,Disgust/Fear
2075,mar,VBD,Disgust/Fear
2076,prostitute,VB,Disgust/Fear
2077,whoredom,VB,Sad/Angry
2078,reverence,VB,Disgust/Fear
2079,rise,VBP,Disgust/Fear
2080,honour,VBD,Happy
2081,profane,VB,Disgust/Fear
2082,hide,VBP,Sad/Angry
2083,sanctify,VBP,Disgust/Fear
2084,uncovered,VBD,Disgust/Fear
2085,discovered,VBD,Disgust/Fear
2086,abhorred,VBD,Sad/Angry
2087,severed,VBN,Sad/Angry
2088,sanctify,VBD,Disgust/Fear
2089,profane,VBD,Disgust/Fear
2090,playing,VBG,Happy
2091,profane,VBP,Disgust/Fear
2092,brokenfooted,VBN,Disgust/Fear
2093,brokenhanded,VBD,Disgust/Fear
2094,scurvy,VBN,Disgust/Fear
2095,scabbed,VBN,Disgust/Fear
2096,hath,VB,Disgust/Fear
2097,separate,VBP,Disgust/Fear
2098,hallow,VBP,Disgust/Fear
2099,eat,VBD,Disgust/Fear
2100,divorced,VBN,Disgust/Fear
2101,offereth,VBP,Disgust/Fear
2102,accomplish,VB,Happy
2103,broken,VB,Sad/Angry
2104,maimed,VBN,Disgust/Fear
2105,bruised,VBN,Disgust/Fear
2106,crushed,VBN,Sad/Angry
2107,lamb,VBD,Disgust/Fear
2108,afflicted,VBN,Sad/Angry
2109,celebrate,VB,Happy
2110,rejoice,VB,Happy
2111,declared,VBD,Disgust/Fear
2112,blasphemed,VBD,Disgust/Fear
2113,stone,VBD,Disgust/Fear
2114,curseth,VB,Disgust/Fear
2115,undressed,VBN,Disgust/Fear
2116,sound,VB,Disgust/Fear
2117,fiftieth,VB,Disgust/Fear
2118,sell,VBP,Disgust/Fear
2119,oppress,VB,Disgust/Fear
2120,increase,VB,Happy
2121,grant,VB,Happy
2122,none,VBN,Disgust/Fear
2123,relieve,VBP,Happy
2124,compel,VB,Disgust/Fear
2125,round,VBN,Disgust/Fear
2126,begat,VBP,Disgust/Fear
2127,reckon,VB,Disgust/Fear
2128,rain,VBP,Disgust/Fear
2129,threshing,VBG,Disgust/Fear
2130,chase,VB,Disgust/Fear
2131,abhor,VB,Sad/Angry
2132,despise,VB,Sad/Angry
2133,terror,VBP,Sad/Angry
2134,punish,VB,Sad/Angry
2135,yield,VBP,Disgust/Fear
2136,rob,VB,Sad/Angry
2137,reformed,VBN,Disgust/Fear
2138,avenge,VB,Disgust/Fear
2139,chastise,VB,Sad/Angry
2140,astonished,VBN,Happy
2141,enjoy,VB,Happy
2142,fleeing,VBG,Disgust/Fear
2143,pine,VB,Disgust/Fear
2144,trespassed,VBD,Disgust/Fear
2145,humbled,VBN,Disgust/Fear
2146,alter,VB,Disgust/Fear
2147,art,VBP,Disgust/Fear
2148,estimate,VB,Disgust/Fear
2149,valued,VBN,Happy
2150,devoted,VBN,Happy
2151,devote,VB,Happy
2152,expressed,VBN,Disgust/Fear
2153,numbered,VBD,Disgust/Fear
2154,page,VBP,Disgust/Fear
2155,encamp,VB,Disgust/Fear
2156,pitch,VB,Disgust/Fear
2157,nahshon,VB,Disgust/Fear
2158,nethaneel,VB,Disgust/Fear
2159,eliab,VB,Disgust/Fear
2160,pitch,VBP,Disgust/Fear
2161,gamaliel,VB,Disgust/Fear
2162,pitched,VBP,Disgust/Fear
2163,consecrated,VBD,Disgust/Fear
2164,eleazar,VB,Disgust/Fear
2165,ithamar,VB,Disgust/Fear
2166,ministered,VBN,Disgust/Fear
2167,wait,VB,Disgust/Fear
2168,thousand,VBP,Disgust/Fear
2169,apiece,VBN,Disgust/Fear
2170,above,VB,Disgust/Fear
2171,approach,VBP,Disgust/Fear
2172,recompense,VB,Disgust/Fear
2173,recompensed,VBN,Disgust/Fear
2174,lain,VBN,Disgust/Fear
2175,uncleanness,VB,Disgust/Fear
2176,rot,VB,Disgust/Fear
2177,swell,VB,Disgust/Fear
2178,blot,VB,Disgust/Fear
2179,guiltless,VBN,Happy
2180,vow,VB,Disgust/Fear
2181,eliab,VBD,Disgust/Fear
2182,elizur,VBD,Disgust/Fear
2183,shelumiel,VBD,Disgust/Fear
2184,eliasaph,VBD,Disgust/Fear
2185,elishama,VBD,Disgust/Fear
2186,gamaliel,VBD,Disgust/Fear
2187,pagiel,VBD,Disgust/Fear
2188,weighing,VBG,Disgust/Fear
2189,twelve,VBP,Disgust/Fear
2190,purifying,VBG,Disgust/Fear
2191,purified,VBN,Disgust/Fear
2192,belongeth,VBD,Disgust/Fear
2193,waiting,VBG,Disgust/Fear
2194,abode,VBP,Disgust/Fear
2195,remaining,VBG,Disgust/Fear
2196,use,VBP,Disgust/Fear
2197,blow,VB,Disgust/Fear
2198,blow,VBP,Disgust/Fear
2199,shelumiel,VBN,Disgust/Fear
2200,eliasaph,VBN,Disgust/Fear
2201,journeying,VBG,Disgust/Fear
2202,goodness,VBD,Happy
2203,resting,VBG,Disgust/Fear
2204,complained,VBD,Sad/Angry
2205,prayed,VBP,Disgust/Fear
2206,quenched,VBN,Disgust/Fear
2207,remember,VBP,Disgust/Fear
2208,weep,VBP,Sad/Angry
2209,displeased,VBN,Sad/Angry
2210,layest,VBP,Disgust/Fear
2211,begotten,VBP,Disgust/Fear
2212,beareth,VBD,Disgust/Fear
2213,flesh,VBN,Disgust/Fear
2214,talk,VB,Disgust/Fear
2215,wept,VBN,Sad/Angry
2216,loathsome,VBN,Disgust/Fear
2217,prophesied,VBD,Disgust/Fear
2218,ran,VB,Disgust/Fear
2219,forbid,VB,Sad/Angry
2220,gat,VBP,Disgust/Fear
2221,chewed,VBN,Disgust/Fear
2222,lusted,VBD,Disgust/Fear
2223,abode,VB,Disgust/Fear
2224,spoken,VB,Disgust/Fear
2225,mouth,VB,Disgust/Fear
2226,afraid,VBD,Disgust/Fear
2227,shammua,VBD,Disgust/Fear
2228,caleb,VBP,Disgust/Fear
2229,igal,VBP,Disgust/Fear
2230,palti,VBP,Disgust/Fear
2231,gaddiel,VBP,Disgust/Fear
2232,gaddi,VBP,Disgust/Fear
2233,ammiel,VBP,Disgust/Fear
2234,sethur,VBD,Disgust/Fear
2235,geuel,VBP,Disgust/Fear
2236,spy,VB,Disgust/Fear
2237,oshea,VBP,Disgust/Fear
2238,dwelleth,VBP,Disgust/Fear
2239,hamath,VB,Disgust/Fear
2240,kadesh,VB,Disgust/Fear
2241,walled,VBD,Disgust/Fear
2242,caleb,VB,Disgust/Fear
2243,stilled,VBD,Disgust/Fear
2244,rent,VB,Disgust/Fear
2245,bade,VBD,Disgust/Fear
2246,disinherit,VB,Disgust/Fear
2247,slain,VB,Disgust/Fear
2248,clearing,VBG,Disgust/Fear
2249,pardoned,VBN,Happy
2250,tempted,VBN,Disgust/Fear
2251,provoked,VBD,Sad/Angry
2252,murmur,VBP,Disgust/Fear
2253,wasted,VBN,Sad/Angry
2254,murmur,VB,Disgust/Fear
2255,gat,VB,Disgust/Fear
2256,transgress,VB,Disgust/Fear
2257,presumed,VBD,Disgust/Fear
2258,discomfited,VBD,Disgust/Fear
2259,performing,VBG,Disgust/Fear
2260,prepare,VBP,Disgust/Fear
2261,preparest,VBP,Disgust/Fear
2262,erred,VBN,Disgust/Fear
2263,sinneth,VBP,Disgust/Fear
2264,gathering,VBG,Disgust/Fear
2265,stoned,VBD,Disgust/Fear
2266,bid,VB,Disgust/Fear
2267,hurt,VBP,Sad/Angry
2268,korah,VB,Disgust/Fear
2269,dathan,VB,Disgust/Fear
2270,abiram,VB,Disgust/Fear
2271,swallow,VB,Disgust/Fear
2272,appertain,VBP,Disgust/Fear
2273,clave,VB,Disgust/Fear
2274,appertained,VBN,Disgust/Fear
2275,appertained,VBD,Disgust/Fear
2276,perished,VBP,Disgust/Fear
2277,lest,VBD,Disgust/Fear
2278,blossom,VB,Disgust/Fear
2279,budded,VBN,Disgust/Fear
2280,bloomed,VBD,Disgust/Fear
2281,perish,VBP,Disgust/Fear
2282,dying,VBG,Disgust/Fear
2283,heave,VBP,Disgust/Fear
2284,render,VB,Disgust/Fear
2285,reckoned,VBN,Disgust/Fear
2286,pollute,VB,Sad/Angry
2287,purify,VB,Disgust/Fear
2288,clean,VBN,Happy
2289,chode,VBP,Disgust/Fear
2290,vexed,VBP,Disgust/Fear
2291,pas,VBN,Disgust/Fear
2292,edom,VB,Disgust/Fear
2293,rebelled,VBN,Sad/Angry
2294,tell,VBP,Disgust/Fear
2295,compass,VB,Disgust/Fear
2296,bit,VBP,Disgust/Fear
2297,bitten,VBN,Disgust/Fear
2298,mattanah,VB,Disgust/Fear
2299,nahaliel,VB,Disgust/Fear
2300,sihon,VB,Disgust/Fear
2301,jahaz,VB,Disgust/Fear
2302,possessed,VBD,Disgust/Fear
2303,fought,VBN,Sad/Angry
2304,escaped,VBD,Disgust/Fear
2305,shot,VBN,Disgust/Fear
2306,perished,VBN,Disgust/Fear
2307,waste,VB,Sad/Angry
2308,og,VB,Disgust/Fear
2309,balak,VB,Disgust/Fear
2310,distressed,VBN,Sad/Angry
2311,cover,VBP,Disgust/Fear
2312,abide,VBP,Disgust/Fear
2313,prevail,VB,Disgust/Fear
2314,balaam,VBD,Disgust/Fear
2315,balaam,VB,Disgust/Fear
2316,balak,VBN,Disgust/Fear
2317,riding,VBG,Disgust/Fear
2318,thrust,VBD,Disgust/Fear
2319,crushed,VBD,Sad/Angry
