,Lemmas,PoS,Sentiment
387,clement,VB,Disgust/Fear
388,frustrateth,VB,Disgust/Fear
389,see,VBP,Disgust/Fear
390,trust,VB,Happy
391,sworn,VBN,Disgust/Fear
392,communicate,VB,Disgust/Fear
393,ashamed,VBN,Sad/Angry
394,forced,VBD,Sad/Angry
395,translate,VB,Disgust/Fear
396,argue,VB,Sad/Angry
397,plaindealing,VBG,Disgust/Fear
398,brought,VBD,Disgust/Fear
399,stopped,VBN,Sad/Angry
400,ask,VB,Disgust/Fear
401,mingled,VBN,Disgust/Fear
402,offended,VBN,Sad/Angry
403,complain,VB,Sad/Angry
404,proved,VBD,Disgust/Fear
405,handle,VB,Disgust/Fear
406,hear,VBP,Disgust/Fear
407,burnt,VBN,Disgust/Fear
408,build,VBP,Disgust/Fear
409,go,VB,Disgust/Fear
410,break,VB,Disgust/Fear
411,mend,VBP,Disgust/Fear
412,obtruded,VBD,Disgust/Fear
413,meaning,VBG,Disgust/Fear
414,go,VBP,Disgust/Fear
415,refusing,VBG,Sad/Angry
416,learning,VBG,Disgust/Fear
417,manum,VB,Disgust/Fear
418,answer,VB,Disgust/Fear
419,sed,VBD,Disgust/Fear
420,laboramus,VBP,Disgust/Fear
421,condemn,VB,Sad/Angry
422,assay,VB,Disgust/Fear
423,glory,VB,Happy
424,condemning,VBG,Disgust/Fear
425,travailed,VBD,Disgust/Fear
426,renowned,VBN,Disgust/Fear
427,acknowledge,VBP,Disgust/Fear
428,raised,VBN,Disgust/Fear
429,deserve,VBP,Disgust/Fear
430,had,VBN,Disgust/Fear
431,timotheus,VB,Disgust/Fear
432,blessed,VBN,Happy
433,break,VBP,Disgust/Fear
434,onset,VBN,Disgust/Fear
435,wrote,VBD,Disgust/Fear
436,begun,VBN,Disgust/Fear
437,perfected,VBN,Happy
438,building,VBG,Disgust/Fear
439,holpen,VBN,Disgust/Fear
440,mislike,VB,Disgust/Fear
441,persuade,VBP,Disgust/Fear
442,thank,VB,Happy
443,strake,VBP,Disgust/Fear
444,despised,VBN,Sad/Angry
445,satisfy,VB,Happy
446,till,VB,Disgust/Fear
447,smitten,VBN,Disgust/Fear
448,offended,VBD,Sad/Angry
449,thought,VBD,Disgust/Fear
450,gone,VBN,Disgust/Fear
451,bestowed,VBN,Disgust/Fear
452,affordeth,VBP,Disgust/Fear
453,cut,VBN,Sad/Angry
454,bestow,VB,Disgust/Fear
455,nay,VB,Disgust/Fear
456,glad,VBD,Happy
457,translate,VBP,Disgust/Fear
458,reckoning,VBG,Disgust/Fear
459,evil,VBN,Sad/Angry
460,grieved,VBN,Sad/Angry
461,working,VBG,Disgust/Fear
462,considered,VBN,Disgust/Fear
463,examined,VBD,Disgust/Fear
464,sound,VBN,Disgust/Fear
465,shine,VB,Disgust/Fear
466,rubbed,VBN,Disgust/Fear
467,polished,VBN,Disgust/Fear
468,halting,VBG,Disgust/Fear
469,corrected,VBN,Disgust/Fear
470,yea,VBP,Disgust/Fear
471,yielding,VBG,Disgust/Fear
472,least,VB,Disgust/Fear
473,quarrel,VB,Disgust/Fear
474,coming,VBG,Disgust/Fear
475,having,VBG,Disgust/Fear
476,appointed,VBN,Disgust/Fear
477,hearing,VBG,Disgust/Fear
478,put,VBN,Disgust/Fear
479,maintained,VBD,Disgust/Fear
